"ক্রম","দেশের নাম","মোট আক্রান্ত","নতুন সংক্রমণ","মোট মৃত","নতুন মৃত্যু","মোট সুস্থ","নতুন সুস্থ","চিকিৎসাধীন","মোট টেস্ট","মৃত্যুহার(%)"
"25","উজবেকিস্তান (Uzbekistan)","5,051","85","19","","3,943","69","1,089","7,48,555","0.38"
"21","তাজিকিস্তান (Tajikistan)","5,035","64","50","","3,409","121","1,576","","0.99"
"168","আইভরি কোস্ট (Ivory Coast)","4,848","","45","","2,397","","2,406","35,935","0.93"
"158","গিনি (Guinea)","4,484","","25","","3,213","","1,246","14,407","0.56"
"66","জিবুতি (Djibouti)","4,465","16","43","2","2,950","127","1,472","40,855","0.96"
"133","হাইতি (Haiti)","4,165","224","70","6","24","","4,071","8,488","1.68"
"103","লুক্সেমবার্গ (Luxembourg)","4,070","7","110","","3,929","7","31","1,06,604","2.7"
"73","হাঙ্গেরি (Hungary)","4,069","5","562","3","2,482","6","1,025","2,33,742","13.81"
"195","এল সালভাদর (El Salvador)","3,720","117","72","","1,837","99","1,811","1,23,360","1.94"
"64","কেনিয়া (Kenya)","3,594","137","103","3","1,253","32","2,238","1,12,171","2.87"
"142","গ্যাবন (Gabon)","3,463","","23","","1,024","","2,416","19,517","0.66"
"61","ইথিওপিয়া (Ethiopia)","3,345","179","57","2","545","50","2,743","1,81,349","1.7"
"72","বুলগেরিয়া (Bulgaria)","3,266","","172","","1,723","","1,371","1,03,077","5.27"
"37","থাইল্যান্ড (Thailand)","3,135","1","58","","2,987","","90","4,68,175","1.85"
"84","গ্রীস (Greece)","3,121","9","183","","1,374","","1,564","2,50,923","5.86"
"203","ভেনিজুয়েলা (Venezuela)","2,904","","24","","487","","2,393","10,66,791","0.83"
"97","বসনিয়া এবং হার্জেগোবিনা (Bosnia and Herzegovina)","2,893","","163","","2,119","","611","75,171","5.63"
"65","সোমালিয়া (Somalia)","2,618","39","88","1","577","18","1,953","","3.36"
"23","কিরগিজস্থান (Kyrgyzstan)","2,285","78","27","","1,791","69","467","1,50,612","1.18"
"98","ক্রোয়েশিয়া (Croatia)","2,252","1","107","","2,134","","11","70,110","4.75"
"134","কিউবা (Cuba)","2,248","10","84","","1,948","25","216","1,33,763","3.74"
"42","মালদ্বীপ  (Maldives)","2,035","22","8","","1,311","94","716","28,940","0.39"
"69","এস্তোনিয়া (Estonia)","1,973","","69","","1,705","","199","95,997","3.5"
"41","শ্রীলঙ্কা (Sri Lanka)","1,889","5","11","","1,287","35","591","85,967","0.58"
"118","আইসল্যান্ড (Iceland)","1,810","2","10","","1,796","2","4","63,184","0.55"
"160","মালি (Mali)","1,809","33","104","","1,088","30","617","3,483","5.75"
"68","লিথুয়ানিয়া (Lithuania)","1,768","5","75","","1,427","11","266","3,63,528","4.24"
"137","দক্ষিণ সুদান (South Sudan)","1,693","","27","","49","","1,617","3,356","1.59"
"105","মৌরিতিনিয়া (Mauritania)","1,682","","83","","311","","1,288","7,654","4.93"
"192","কোস্টারিকা (Costa Rica)","1,662","","12","","743","","907","31,763","0.72"
"78","শ্লোভাকিয়া (Slovakia)","1,548","3","28","","1,410","","110","1,96,723","1.81"
"83","আলবেনিয়া (Albania)","1,521","57","36","","1,044","5","441","18,250","2.37"
"12","নিউজিল্যান্ড (New Zealand)","1,504","","22","","1,482","","","3,10,297","1.46"
"99","স্লোভেনিয়া (Slovenia)","1,495","3","109","","1,359","","27","88,754","7.29"
"190","নিকারাগুয়া (Nicaragua)","1,464","","55","","953","","456","","3.76"
"46","লেবানন (Lebanon)","1,446","4","32","","868","","546","1,06,149","2.21"
"154","জাম্বিয়া (Zambia)","1,357","","10","","1,114","10","233","44,126","0.74"
"178","ইকুয়েটোরিয়াল গিনি (Equatorial Guinea)","1,306","","12","","200","","1,094","8,268","0.92"
"174","প্যারাগুয়ে (Paraguay)","1,289","28","11","","650","3","628","46,608","0.85"
"62","মাদাগাস্কার (Madagascar)","1,272","20","10","","367","5","895","15,756","0.79"
"166","ফ্রেঞ্চ গায়ানা (French Guiana)","1,255","94","3","1","534","14","718","277","0.24"
"170","সিয়েরা লিওন (Sierra Leone)","1,169","37","51","","680","10","438","","4.36"
"9","হংকং (Hong Kong)","1,110","","4","","1,067","6","39","2,41,992","0.36"
"70","লাটভিয়া (Latvia)","1,097","","28","","845","","224","1,27,450","2.55"
"107","তিউনিসিয়া (Tunisia)","1,096","2","49","","998","3","49","59,887","4.47"
"82","সাইপ্রাস (Cyprus)","980","","18","","807","","155","1,40,126","1.84"
"104","নাইজার (Niger)","980","","66","","881","","33","6,275","6.73"
"59","জর্ডান (Jordan)","961","8","9","","682","4","270","2,75,480","0.94"
"161","বুরকিনা ফাসো (Burkina Faso)","894","2","53","","799","","42","","5.93"
"50","জর্জিয়া (Georgia)","864","13","14","","703","1","147","75,918","1.62"
"112","এন্ডোরা (Andorra)","853","","51","","781","","21","3,750","5.98"
"138","চাঁদ (Chad)","850","2","73","1","720","2","57","","8.59"
"176","উরুগুয়ে (Uruguay)","847","","23","","784","","40","52,862","2.72"
"52","ইয়েমেন (Yemen)","728","23","164","4","53","14","511","120","22.53"
"146","কঙ্গো প্রজাতন্ত্র (Republic of the Congo)","728","","24","","221","","483","","3.3"
"147","উগান্ডা (Uganda)","696","2","","","240","21","456","1,45,768",""
"96","সান ম্যারিনো  (San Marino)","694","","42","","520","","132","5,238","6.05"
"108","মালটা  (Malta)","649","3","9","","603","2","37","82,263","1.39"
"129","জ্যামাইকা (Jamaica)","615","1","10","","420","3","185","16,347","1.63"
"63","মোজাম্বিক (Mozambique)","583","30","3","1","151","","429","18,620","0.51"
"145","রুয়ান্ডা (Rwanda)","541","","2","","332","","207","87,656","0.37"
"171","টোগো (Togo)","530","","13","","291","","226","25,401","2.45"
"155","মালাবি (Malawi)","529","","5","","68","2","456","6,690","0.95"
"141","তানজানিয়া (United Republic of Tanzania)","509","","21","","183","","305","","4.13"
"167","লাইবেরিয়া (Liberia)","458","12","32","","219","5","207","","6.99"
"10","তাইওয়ান (Taiwan)","443","","7","","431","","5","73,751","1.58"
"106","লিবিয়া (Libya)","418","","8","","62","","348","12,867","1.91"
"157","বেনিন (Benin)","412","","6","","222","","184","45,758","1.46"
"153","জিম্বাবুয়ে (Zimbabwe)","356","","4","","54","","298","52,905","1.12"
"38","ভিয়েতনাম (Vietnam)","334","","","","323","","11","2,75,000",""
"86","মন্টিনিগ্রো (Montenegro)","324","","9","","315","","","13,186","2.78"
"30","মিয়ানমার (Myanmar)","261","","6","","167","","88","49,729","2.3"
"181","মার্টিনিকিউ  (Martinique)","202","","14","","98","","90","","6.93"
"27","মঙ্গোলিয়া (Mongolia)","197","","","","98","3","99","17,899",""
"164","সুরিনাম (Suriname)","196","","3","","9","","184","1,165","1.53"
"117","ফ্যারো আইল্যান্ড  (Faeroe Islands)","187","","","","187","","","11,002",""
"47","সিরিয়া (Syria)","177","7","6","","74","3","97","","3.39"
"122","জিব্রালটার (Gibraltar)","176","","","","173","","3","10,104",""
"165","গায়ানা (Guyana)","159","","12","","95","","52","1,927","7.55"
"125","বারমুডা (Bermuda)","142","","9","","127","","6","8,430","6.34"
"6","ব্রুনেই (Brunei)","141","","2","","138","","1","24,131","1.42"
"140","এঙ্গোলা (Angola)","138","","6","","61","","71","10,000","4.35"
"40","কম্বোডিয়া (Cambodia)","128","2","","","125","","3","27,274",""
"193","ত্রিনিদাদ এবং টোবাগো (Trinidad and Tobago)","117","","8","","109","","","3,876","6.84"
"191","আরুবা (Aruba)","101","","3","","98","","","2,220","2.97"
"111","মোনাকো  (Monaco)","99","","4","","93","","2","16,200","4.04"
"194","বার্বাডোজ (Barbados)","96","","7","","83","","6","6,449","7.29"
"143","বুরুন্ডি (Burundi)","85","","1","","45","","39","382","1.18"
"100","লিচেস্টাইন  (Liechtenstein)","82","","1","","55","","26","900","1.22"
"34","ভুটান (Bhutan)","66","4","","","21","1","45","20,731",""
"67","ইরিত্রিয়া (Eritrea)","65","","","","39","","26","",""
"152","বতসোয়ানা (Botswana)","60","","1","","24","","35","26,800","1.67"
"199","ফ্রান্স পলিনেশিয়া  (French Polynesia)","60","","","","60","","","4,262",""
"8","ম্যাকাউ  (Macao)","45","","","","45","","","",""
"151","নামিবিয়া (Namibia)","32","","","","17","","15","5,682",""
"159","গাম্বিয়া (Gambia)","28","","1","","24","","3","1,970","3.57"
"185","এন্টিগুয়া & বারবুডা  (Antigua and Barbuda)","26","","3","","20","","3","489","11.54"
"189","গ্রানাডা  (Grenada)","23","","","","22","","1","4,130",""
"13","নিউ ক্যালেডোনিয়া (New Caledonia)","21","","","","20","","1","7,582",""
"183","বেলিজ (Belize)","20","","2","","16","","2","1,776","10"
"43","লাওস (Laos)","19","","","","19","","","10,146",""
"180","সেইন্ট লুসিয়া  (Saint Lucia)","19","","","","18","","1","1,264",""
"14","ফিজি (Fiji)","18","","","","18","","","2,431",""
"184","ডমিনিকা  (Dominica)","18","","","","16","","2","534",""
"186","সেইন্ট কিটস & নেভিস  (Saint Kitts and Nevis)","15","","","","15","","","417",""
"119","গ্রিনল্যান্ড (Greenland)","13","","","","13","","","2,511",""
"173","ফকল্যান্ড (Falkland Islands)","13","","","","13","","","671",""
"110","ভ্যাটিকান সিটি  (Vatican City)","12","","","","12","","","",""
"135","পশ্চিম সাহারা (Western Sahara)","9","","1","","8","2","","","11.11"
"18","পাপুয়া নিউ গিনি (Papua New Guinea)","8","","","","8","","","5,281",""
"128","বৃটিশ ভার্জিন আইল্যান্ড  (British Virgin Islands)","8","","1","","7","","","212","12.5"
"150","লেসোথো (Lesotho)","4","","","","2","","2","1,515",""
"2","উত্তর কোরিয়া (North Korea)","","","","","","","","",""
"15","সলোমন দ্বীপপুঞ্জ (Solomon Islands)","","","","","","","","",""
"16","ভানুতু (Vanuatu)","","","","","","","","",""
"17","পূর্ব তিমুর (East Timor)","","","","","","","","",""
"22","তুর্কমেনিস্তান (Turkmenistan)","","","","","","","","",""
"36","দক্ষিণ এন্টার্কটিকা (French Southern and Antarctic Lands)","","","","","","","","",""
"57","পশ্চিম তীর (West Bank)","","","","","","","","",""
"60","সোমালিল্যান্ড (Somaliland)","","","","","","","","",""
"75","সার্বিয়া (Republic of Serbia)","","","","","","","","",""
"81","উত্তর সাইপ্রাস (Northern Cyprus)","","","","","","","","",""
"85","মেসিডোনিয়া (Macedonia)","","","","","","","","",""
"87","কসোভো (Kosovo)","","","","","","","","",""
"88","চেক রিপাবলিক (Czech Republic)","","","","","","","","",""
"120","বাহামা দ্বীপপুঞ্জ (The Bahamas)","","","","","","","","",""
"130","পুয়ের্তো রিকো (Puerto Rico)","","","","","","","","",""
"136","সেন্ট্রাল আফ্রিকা (Central African Republic)","","","","","","","","",""
"144","গণপ্রজাতন্ত্রী কঙ্গো (Democratic Republic of the Congo)","","","","","","","","",""
"149","সোয়াজিল্যান্ড (Swaziland)","","","","","","","","",""
"162","গিনি বিসাউ (Guinea Bissau)","","","","","","","","",""
"175","এন্টার্কটিকা (Antarctica)","","","","","","","","",""
